tingkatan,theme_name,bidang_code,bidang_name,standard_kandungan_code,standard_kandungan_name,standard_pembelajaran_code,standard_pembelajaran_name
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.1,Peralatan perlindungan diri,1.1.1,Menjelaskan dengan contoh peralatan perlindungan diri serta fungsinya
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.2,Pembuangan bahan sisa,1.2.1,Menjelaskan dengan contoh bahan yang boleh dibuang ke dalam sinki
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.2,Pembuangan bahan sisa,1.2.2,Mencirikan bahan yang tidak boleh dibuang ke dalam sinki
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.2,Pembuangan bahan sisa,1.2.3,Mengurus bahan sisa biologi
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.2,Pembuangan bahan sisa,1.2.4,Berkomunikasi mengenai langkah mengurus kemalangan dalam makmal
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.3,Pemadam kebakaran,1.3.1,Berkomunikasi mengenai jenis pemadam kebakaran
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.3,Pemadam kebakaran,1.3.2,Menerangkan kaedah penggunaan pemadam kebakaran
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.3,Pemadam kebakaran,1.3.3,Menjalankan audit alat pemadam kebakaran di sekolah
4,Keselamatan dan Kesihatan,1.0,Langkah Keselamatan dalam Makmal,1.3,Pemadam kebakaran,1.3.4,Mencipta alat pemadam kebakaran ringkas
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.1,Resusitasi Kardiopulmonari (CPR),2.1.1,Menyatakan apakah itu CPR dan situasi yang memerlukan CPR
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.1,Resusitasi Kardiopulmonari (CPR),2.1.2,Mendemonstrasi kaedah CPR
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.1,Resusitasi Kardiopulmonari (CPR),2.1.3,Menerangkan kepentingan CPR
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.2,Heimlich Maneuver,2.2.1,Menerangkan Heimlich Maneuver dan kepentingannya
4,Keselamatan dan Kesihatan,2.0,Bantuan Kecemasan,2.2,Heimlich Maneuver,2.2.2,Membuat demonstrasi Heimlich Maneuver
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.1,Suhu badan,3.1.1,Mengukur suhu badan menggunakan teknik yang betul
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.1,Suhu badan,3.1.2,Menginterpretasi suhu badan
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.2,Kadar denyutan nadi,3.2.1,Mengenal pasti titik nadi pada badan
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.2,Kadar denyutan nadi,3.2.2,Menjalankan eksperimen bagi menentukan kadar denyutan nadi manusia
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.3,Tekanan darah,3.3.1,Mengenal pasti alat mengukur tekanan darah
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.3,Tekanan darah,3.3.2,Mengukur dan merekod tekanan darah
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.3,Tekanan darah,3.3.3,Menginterpretasi data daripada bacaan tekanan darah
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.4,Indeks Jisim Badan (BMI),3.4.1,Mengira dan menentukan Indeks Jisim Badan
4,Keselamatan dan Kesihatan,3.0,Teknik Mengukur Parameter Kesihatan Badan,3.4,Indeks Jisim Badan (BMI),3.4.2,Menginterpretasi Indeks Jisim Badan dan membuat keputusan mengenai tindakan yang perlu diambil
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.1,Kelestarian Alam Sekitar,4.1.1,Mendefinisikan dan mewajarkan Teknologi Hijau dalam kehidupan
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.1,Kelestarian Alam Sekitar,4.1.2,Menghubung kait kecekapan tenaga dengan Teknologi Hijau
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.1,Kelestarian Alam Sekitar,4.1.3,Mengenal pasti sektor dalam Teknologi Hijau
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.2,Sektor Tenaga,4.2.1,Memerihalkan isu sosiosaintifik
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.2,Sektor Tenaga,4.2.2,Menerangkan isu sosiosaintifik dalam sektor tenaga
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.2,Sektor Tenaga,4.2.3,Mewajarkan aplikasi Teknologi Hijau dalam menangani isu sosiosaintifik sektor tenaga
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.3,Sektor Pengurusan Sisa dan Air Sisa,4.3.1,Menerangkan isu sosiosaintifik dalam sektor pengurusan sisa dan air sisa
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.3,Sektor Pengurusan Sisa dan Air Sisa,4.3.2,Mewajarkan aplikasi Teknologi Hijau dalam menangani isu sosiosaintifik sektor pengurusan sisa dan air sisa
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.4,Sektor Pertanian dan Perhutanan,4.4.1,Menerangkan isu sosiosaintifik dalam sektor pertanian dan perhutanan
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.4,Sektor Pertanian dan Perhutanan,4.4.2,Mewajarkan aplikasi Teknologi Hijau dalam menangani isu sosiosaintifik sektor pertanian dan perhutanan
4,Penyenggaraan dan Kesinambungan Hidup,4.0,Teknologi Hijau dalam Melestarikan Alam,4.5,Sektor Pengangkutan,4.5.1,Menerangkan isu sosiosaintifik dalam sektor pengangkutan
