school_code,school_name,school_type,state_name,ppd_name,is_secondary
JEA0010,SEKOLAH MENENGAH KEBANGSAAN DATO' BENTARA LUAR,SMK,JOHOR,PPD BATU PAHAT,True
JEA0011,SEKOLAH MENENGAH KEBANGSAAN TUN AMINAH,SMK,JOHOR,PPD BATU PAHAT,True
JEA0012,SEKOLAH MENENGAH KEBANGSAAN TUNKU MAHMOOD ISKANDAR,SMK,JOHOR,PPD BATU PAHAT,True
JEA0013,SEKOLAH MENENGAH KEBANGSAAN SENGGARANG,SMK,JOHOR,PPD BATU PAHAT,True
JEA0014,SEKOLAH MENENGAH KEBANGSAAN SERI MEDAN,SMK,JOHOR,PPD BATU PAHAT,True
JEA0015,SEKOLAH MENENGAH KEBANGSAAN DATO SULAIMAN,SMK,JOHOR,PPD BATU PAHAT,True
JEA0016,SEKOLAH MENENGAH KEBANGSAAN DATO ONN,SMK,JOHOR,PPD BATU PAHAT,True
JEA0017,SEKOLAH MENENGAH KEBANGSAAN PERMATA JAYA,SMK,JOHOR,PPD BATU PAHAT,True
JEA0018,SEKOLAH MENENGAH KEBANGSAAN SERI GADING,SMK,JOHOR,PPD BATU PAHAT,True
JEA0019,SEKOLAH MENENGAH KEBANGSAAN DATIN ONN JAFFAR,SMK,JOHOR,PPD BATU PAHAT,True
JEA0020,SEKOLAH MENENGAH KEBANGSAAN DATO SETH,SMK,JOHOR,PPD BATU PAHAT,True
JEA0022,SEKOLAH MENENGAH KEBANGSAAN PENGHULU SAAT,SMK,JOHOR,PPD BATU PAHAT,True
JEA0023,SEKOLAH MENENGAH KEBANGSAAN BANANG JAYA,SMK,JOHOR,PPD BATU PAHAT,True
JEA0024,SEKOLAH MENENGAH SAINS BATU PAHAT,SBP,JOHOR,PPD BATU PAHAT,True
JEA0025,SEKOLAH MENENGAH KEBANGSAAN SURIA PERDANA,SMK,JOHOR,PPD BATU PAHAT,True
JEB0015,SEKOLAH MENENGAH KEBANGSAAN TINGGI BATU PAHAT,SMK,JOHOR,PPD BATU PAHAT,True
JEB0016,SEKOLAH MENENGAH KEBANGSAAN (P) TEMENGGONG IBRAHIM,SMK,JOHOR,PPD BATU PAHAT,True
JEB0017,SEKOLAH MENENGAH KEBANGSAAN CONVENT,SMK,JOHOR,PPD BATU PAHAT,True
JEB0018,SEKOLAH MENENGAH KEBANGSAAN MUNSHI SULAIMAN,SMK,JOHOR,PPD BATU PAHAT,True
JEB0019,SEKOLAH MENENGAH KEBANGSAAN DATO' SYED ESA,SMK,JOHOR,PPD BATU PAHAT,True
JEE0018,SEKOLAH MENENGAH KEBANGSAAN TUN SARDON,SMK,JOHOR,PPD BATU PAHAT,True
JEE0019,SEKOLAH MENENGAH KEBANGSAAN TUN ISMAIL,SMK,JOHOR,PPD BATU PAHAT,True
JEE0020,SEKOLAH MENENGAH KEBANGSAAN SEMERAH,SMK,JOHOR,PPD BATU PAHAT,True
JEE0034,SEKOLAH MENENGAH KEBANGSAAN DATUK MENTERI,SMK,JOHOR,PPD BATU PAHAT,True
JEE0040,SEKOLAH MENENGAH KEBANGSAAN YONG PENG,SMK,JOHOR,PPD BATU PAHAT,True
JEE0041,SEKOLAH MENENGAH KEBANGSAAN TUNKU PUTRA,SMK,JOHOR,PPD BATU PAHAT,True
JFT0001,SEKOLAH MENENGAH AGAMA PARIT RAJA,SM SABK,JOHOR,PPD BATU PAHAT,True
JFT0002,SEKOLAH MENENGAH AGAMA JAWAHIR AL-ULUM,SM SABK,JOHOR,PPD BATU PAHAT,True
JFT0003,SEKOLAH MENENGAH AGAMA PARIT SULONG,SM SABK,JOHOR,PPD BATU PAHAT,True
JFT0004,SEKOLAH MENENGAH AGAMA ATTARBIAH AL ISLAMIAH,SM SABK,JOHOR,PPD BATU PAHAT,True
JHA0002,KOLEJ VOKASIONAL BATU PAHAT,KV,JOHOR,PPD BATU PAHAT,True
JEA1001,SEKOLAH MENENGAH KEBANGSAAN SULTAN ISMAIL,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1002,SEKOLAH MENENGAH KEBANGSAAN TASEK UTARA,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1003,SEKOLAH MENENGAH KEBANGSAAN TUN SYED NASIR ISMAIL,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1004,SEKOLAH MENENGAH KEBANGSAAN SRI TEBRAU,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1005,SEKOLAH MENENGAH KEBANGSAAN SRI RAHMAT,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1006,SEKOLAH MENENGAH KEBANGSAAN SKUDAI,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1043,SEKOLAH MENENGAH KEBANGSAAN TANJUNG ADANG,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1044,SEKOLAH MENENGAH KEBANGSAAN TAMAN PELANGI,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1046,SEKOLAH MENENGAH KEBANGSAAN TAMAN TUN AMINAH,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1048,SEKOLAH MENENGAH KEBANGSAAN BANDAR BARU UDA,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1049,SEKOLAH MENENGAH KEBANGSAAN TAMAN UNIVERSITI,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1050,SEKOLAH MENENGAH KEBANGSAAN SERI PERLING,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1054,SEKOLAH MENENGAH KEBANGSAAN DAMAI JAYA,SMK,JOHOR,PPD JOHOR BAHRU,True
JEA1055,SEKOLAH MENENGAH KEBANGSAAN TAN SRI MOHAMED RAHMAT,SMK,JOHOR,PPD JOHOR BAHRU,True
